JobID|Elapsed|Eligible|End|ReqMem|ReqCPUS|CPUTime|Submit|Start|MaxVMSize|State|User|NodeList|Partition|
5771165|4-00:00:15|2023-05-30T23:01:00|2023-06-03T23:01:16|1000Mc|32|128-00:08:00|2023-05-30T23:01:00|2023-05-30T23:01:01||TIMEOUT|suman.jyotide|cn55|parallel-long|
5771166|4-00:00:18|2023-05-30T23:01:27|2023-06-03T23:01:46|1000Mc|32|128-00:09:36|2023-05-30T23:01:27|2023-05-30T23:01:28||TIMEOUT|suman.jyotide|cn55|parallel-long|
5771168|4-00:00:25|2023-05-30T23:07:21|2023-06-03T23:07:46|1000Mc|32|128-00:13:20|2023-05-30T23:07:21|2023-05-30T23:07:21||TIMEOUT|suman.jyotide|cn56|parallel-long|
5771169|4-00:00:08|2023-05-30T23:07:37|2023-06-03T23:07:46|1000Mc|32|128-00:04:16|2023-05-30T23:07:37|2023-05-30T23:07:38||TIMEOUT|suman.jyotide|cn56|parallel-long|
5770483_175|2-06:22:46|2023-05-28T23:25:40|2023-06-02T12:10:17|1Gc|1|2-06:22:46|2023-05-28T23:25:40|2023-05-31T05:47:31||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_176|2-06:22:49|2023-05-28T23:25:40|2023-06-02T12:11:09|1Gc|1|2-06:22:49|2023-05-28T23:25:40|2023-05-31T05:48:20||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_177|2-06:22:59|2023-05-28T23:25:40|2023-06-02T12:11:27|1Gc|1|2-06:22:59|2023-05-28T23:25:40|2023-05-31T05:48:28||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_178|2-06:27:38|2023-05-28T23:25:40|2023-06-02T12:16:36|1Gc|1|2-06:27:38|2023-05-28T23:25:40|2023-05-31T05:48:58||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_179|2-06:28:43|2023-05-28T23:25:40|2023-06-02T12:17:58|1Gc|1|2-06:28:43|2023-05-28T23:25:40|2023-05-31T05:49:15||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_180|2-06:24:59|2023-05-28T23:25:40|2023-06-02T12:14:23|1Gc|1|2-06:24:59|2023-05-28T23:25:40|2023-05-31T05:49:24||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_181|2-06:23:50|2023-05-28T23:25:40|2023-06-02T12:13:14|1Gc|1|2-06:23:50|2023-05-28T23:25:40|2023-05-31T05:49:24||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_182|2-06:25:04|2023-05-28T23:25:40|2023-06-02T12:14:53|1Gc|1|2-06:25:04|2023-05-28T23:25:40|2023-05-31T05:49:49||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_183|2-06:24:07|2023-05-28T23:25:40|2023-06-02T12:14:05|1Gc|1|2-06:24:07|2023-05-28T23:25:40|2023-05-31T05:49:58||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_184|2-06:25:27|2023-05-28T23:25:40|2023-06-02T12:15:49|1Gc|1|2-06:25:27|2023-05-28T23:25:40|2023-05-31T05:50:22||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_185|2-06:34:45|2023-05-28T23:25:40|2023-06-02T12:25:13|1Gc|1|2-06:34:45|2023-05-28T23:25:40|2023-05-31T05:50:28||COMPLETED|jitendra.kethepalli|cn14|serial-short|
